"questionid";"code";"difficulty";"feedback";"has_feedback";"internet_link";"is_marked";"status";"content";"categoryid"
34;"import java.io.*;
class Great {
    public void doStuff() throws FileNotFoundException{
    }    
}

class Amazing extends Great { 
  public void doStuff() throws IOException, IllegalArgumentException{
  }    
}

public class TestClass {
    public static void main(String[] args) throws IOException{
        Great g = new Amazing();
        g.doStuff();
    }
}
Assume that changes suggested in a option are to be applied independent of other options.";2;"";0;"";0;0;"How can you fix the following code to make it compile:";1
35;"public Object  myMethod() {...} 
(Select the best option.)";0;"";0;"";0;0;"Which of the following is a legal return type of a method overriding the given method";1
36;"//in file /root/com/foo/X.java
package com.foo;
public class X{
  public static int LOGICID = 10;
  public void apply(int i){
    System.out.println(""applied"");
  }
}

//in file /root/com/bar/Y.java
package com.bar;
//1 <== INSERT STATEMENT(s) HERE
public class Y{
    public static void main(String[] args){
       X x = new X();
       x.apply(LOGICID);
    }
}
What should be inserted at //1 so that Y.java can compile without any error?";0;"";0;"";0;0;"Consider the following two classes defined in two java source files.";9
37;" int a = 1 + 2 + 3 * 4; 
 int b = 2 * 3 + 4;  
 int total = a + b;  
What will be the value of total?";0;"";0;"";0;0;"Given:";7
38;"";0;"";0;"";0;0;"Which of the following method definitions will prevent overriding of that method?";1
39;"public class Test {
	int[] ia = new int[1];
	Object oA[] = new Object[1];
	boolean bool;

	public static void main(String args[]) {
		Test test = new Test();
		System.out.println(test.ia[0] + ""  "" + test.oA[0] + ""  "" +
                test.bool);
	}
}";0;"";0;"";0;0;"What would be the result of trying to compile and run the following program?";8
40;"public static void main(String[] args) {
   int[] values = { 10, 30, 50 };
        for( int val : values ){
            int x = 0;
            while(x<values.length){
             System.out.println(x+"" ""+val);
              x++;
            }
        }              
    }
How many times is 2 printed out in the output?";0;"";0;"";0;0;"Consider the following code:";4
41;"package exceptions;
public class TestClass{
    public static void main(String[] args) {
        try{
            hello();
        }
        catch(MyException me){
            System.out.println(me);
        }
    }
    
    static void hello() throws MyException{
        int[] dear = new int[7];
        dear[0] = 747;
        foo();
    }
    
    static void foo() throws MyException{
        throw new MyException(""Exception from foo"");
    }
}

class MyException extends Exception {
    public MyException(String msg){
        super(msg);
    }
}
(Assume that line numbers printed in the messages given below are correct.)";2;"";0;"";0;0;"What will be the output when the following program is run?";2
42;"// Filename: TestClass.java
class TestClass implements T1, T2{
   public void m1(){}
}
interface T1{
   int VALUE = 1;
   void m1();
}
interface T2{
   int VALUE = 2;
   void m1();
}";2;"";0;"";0;0;"What, if anything, is wrong with the following code?";1
43;"class SomeClass {
	public static void main(String args[]) {
		if (args.length == 0) {
			System.out.println(""no arguments"");
		} else {
			System.out.println(args.length + "" arguments"");
		}
	}
}";0;"";0;"";0;0;"Given the following program, which statement is true?";9
44;"";2;"";0;"";0;0;"Which of the following declarations are valid?";7
45;"class Test{
   public static void main(String args[]){
      int var = 20, i=0;
      do{
         while(true){
         if( i++ > var) break;
         }
      }while(i<var--);
      System.out.println(var);
   }
}";2;"";0;"";0;0;"What will the following program print?";4
46;"public class Operators {
	public static int operators() {
		int x1 = -4;
		int x2 = x1--;
		int x3 = ++x2;
		if (x2 > x3) {
			--x3;
		} else {
			x1++;
		}
		return x1 + x2 + x3;
	}

	public static void main(String[] args) {
		System.out.println(operators());
	}
}";2;"";0;"";0;0;"What will the following program print when run?";7
47;"";2;"";0;"";0;0;"Identify the exceptions that are usually thrown by the JVM and the exceptions usually thrown by an application.";2
48;"";0;"";0;"";0;0;"A try statement must always have a ............. associated with it.";2
49;"int[][] twoD = { { 1, 2, 3} , { 4, 5, 6, 7}, { 8, 9, 10 } };  
What will the following lines of code print?  
System.out.println(twoD[1].length); System.out.println(twoD[2].getClass().isArray()); 
System.out.println(twoD[1][2]);";2;"";0;"";0;0;"Given the following declaration:";8
50;"class ScopeTest {
	static int x = 5;

	public static void main(String[] args) {
		int x = (x = 3) * 4;// 1
		System.out.println(x);
	}
}";2;"";0;"";0;0;"What will be the output when the following class is compiled and run?";7
51;"public class TestClass {
	public static void main(String[] args) {
		int k = 2;
		while (--k) {
			System.out.println(k);
		}
	}
}";0;"";0;"";0;0;"What will the following code print when compiled and run:";4
52;"public abstract class TestClass {
	public abstract void m1();

public abstract void m2(){System.out.println(""hello"");}
}

 Which of the following corrections can be applied to the above code
 (independently) so that it compiles without any error?";0;"";0;"";0;0;"Consider the following code:";9
53;"package com.enthu; 
public class Base{    
   // ....    
   // lot of code... 
}";0;"";0;"";0;0;"Given the following class, which of these are valid ways of referring to the class from outside of the package com.enthu?";9
54;"public class TestClass {
	public static void main(String[] args) {
		String str = ""111"";
		boolean[] bA = new boolean[1];
		if (bA[0])
			str = ""222"";
		System.out.println(str);
	}
}";0;"";0;"";0;0;"What will the following program print?";8
55;"public class MyClass {
    protected int value = 10;  
}  

Which of the following statements are correct regarding the field value?";0;"";0;"";0;0;"Consider the following code:";6
56;"""    hello java guru   "".trim();";0;"";0;"";0;0;"What will the following statement return?";3
57;"public class Test {
	void test(){
		MyClass obj = new MyClass();
		obj.name = ""jack"";       
		// 1 insert code here  
		}
} 

// In MyClass.java
public class MyClass{
	int value;
	String name; 
}

What can be inserted at // 1, which will make the object referred to by obj eligible for garbage collection?";0;"";0;"";0;0;"Consider the following code snippet:";9
58;"";0;"";0;"";0;0;"You are modeling a class hierarchy for living things. You have a class LivingThing which has an abstract method reproduce(). Now, you want to have 2 concrete subclasses of LivingThing - Plant and Animal. Both do reproduce but the mechanisms are different. What would you do?";1
59;"";0;"";0;"";0;0;"Assume that a method named 'method1' contains code which may raise a non-runtime (checked) Exception. What is/are the possible way(s) to declare this method so that it indicates that it expects the caller to handle that exception?";2
60;"package x;
public class TestClass {
    ArrayList<String> al;
    public void init(){
        al = new ArrayList<>();
        al.add(""Name 1"");
        al.add(""Name 2"");
    }
    public static void main(String[] args) throws Exception {
        TestClass tc = new TestClass();
        tc.init();
        System.out.println(""Size = ""+tc.al.size());
    }
}
Which import statement should be added to make it compile?";1;"";0;"";0;0;"Given the complete contents of TestClass.java file:";8
61;"public class TestClass {
	static int si = 10;

	public static void main(String args[]) {
		new TestClass();
	}

	public TestClass() {
		System.out.println(this);
	}

	public String toString() {
		return ""TestClass.si = "" + this.si;
	}
}";1;"";0;"";0;0;"What is the result of compiling and running the following code ?";6
62;"
//line 1 
public class TestClass {
	public static void main(String[] args) {
		PrintWriter pw = new PrintWriter(System.out);
		OutputStreamWriter osw = new OutputStreamWriter(System.out);
		pw.print(""hello"");
	}
}
Assume that PrintWriter and OutputStreamWriter are valid classes in java.io package.";1;"";0;"";0;0;"Which of the following lines can be inserted at line 1 to make the program run";9
63;"public class TestClass {
	public static void main(String[] args) {
		int[] arr = { 1, 2, 3, 4, 5, 6 };
		int counter = 0;
		for (int value : arr) {
			if (counter >= 5) {
				break;
			} else {
				continue;
			}
			if (value > 4) {
				arr[counter] = value + 1;
			}
			counter++;
		}
		System.out.println(arr[counter]);
	}
}";2;"";0;"";0;0;"What will the following code print when compiled and run?";4
64;", method = RequestMethod.POST";0;"";0;"";0;0;",mnbvc";1
